mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,N,P,K
148,148,64,33,37,169,20.0,45.2,80.0
94,129,100,13,55,92,20.0,22.6,62.5
80,97,59,28,27,66,33.33,33.0,33.5
107,125,98,23,41,178,20.0,56.8,52.5
161,158,90,26,27,86,20.0,69.4,93.0
156,77,103,5,24,120,20.0,65.4,26.5
94,113,88,21,63,151,24.67,42.6,46.5
158,154,76,28,48,172,20.0,68.2,64.0
119,146,102,33,40,91,20.0,34.6,75.0
84,155,134,26,77,126,20.0,31.6,85.5
173,81,86,26,42,125,20.0,55.2,50.5
76,153,72,13,62,177,24.67,21.4,89.5
101,75,138,22,44,83,20.0,52.4,47.5
66,106,75,17,39,124,34.67,24.4,53.0
73,125,126,19,47,157,20.0,36.2,68.5
110,74,97,34,41,117,32.33,48.0,31.0
129,64,93,15,79,160,20.0,43.6,37.0
119,157,44,11,23,65,20.0,51.6,92.5
106,148,94,12,71,75,20.0,44.4,86.0
165,79,58,21,75,122,27.33,78.0,49.5
114,139,129,25,42,68,20.0,50.6,54.5
117,50,73,34,73,107,37.0,43.8,30.0
60,65,100,11,24,81,37.0,20.0,42.5
75,100,125,29,48,137,20.0,29.0,51.0
153,159,101,24,24,135,20.0,71.2,89.5
107,134,78,8,52,153,20.0,49.8,77.0
69,118,139,6,71,154,20.0,37.6,62.0
117,145,40,28,24,168,20.0,46.8,80.5
139,51,131,31,39,83,20.0,57.6,20.0
92,82,100,23,62,160,29.67,23.8,26.0
92,89,113,15,63,88,24.0,32.8,42.5
61,84,126,21,45,67,28.67,34.4,56.0
93,154,46,8,77,176,29.33,34.2,72.0
88,85,128,25,76,95,20.0,24.2,35.5
83,113,138,21,54,171,20.0,35.2,57.5
162,145,63,27,51,96,20.0,65.8,79.5
72,72,128,7,60,89,35.33,29.8,50.0
143,138,125,17,78,78,20.0,45.2,65.0
120,154,58,16,28,130,20.0,52.0,80.0
170,65,108,7,31,84,20.0,79.0,37.5
159,102,62,20,76,98,20.0,68.6,45.0
117,88,53,30,24,94,34.0,41.8,46.0
170,125,48,14,77,167,20.0,81.0,52.5
66,95,52,12,61,68,56.0,37.4,57.5
125,54,68,9,57,142,34.67,50.0,24.0
124,135,56,11,44,104,20.0,37.6,57.5
90,68,100,16,73,98,33.0,46.0,37.0
98,116,84,17,69,151,29.67,51.2,50.0
120,154,78,5,22,136,20.0,57.0,85.0
92,87,45,30,63,104,47.33,49.8,42.5
80,129,124,15,79,160,20.0,19.0,67.5
79,106,57,19,60,108,42.33,30.6,38.0
176,103,42,20,42,116,20.0,66.4,45.5
155,65,111,10,31,83,20.0,72.0,44.5
95,139,47,30,79,109,20.33,31.0,57.5
123,76,102,21,28,92,28.67,46.2,50.0
171,78,52,18,54,65,26.67,71.4,28.0
106,74,105,14,75,89,32.0,53.4,34.0
64,82,104,22,51,170,42.67,20.6,46.0
85,112,128,26,78,86,20.0,31.0,41.0
157,154,138,5,40,171,20.0,74.8,78.0
128,144,44,10,22,112,20.0,56.2,61.0
133,123,122,21,40,137,20.0,51.2,46.5
110,94,116,8,20,172,20.0,30.0,59.0
154,121,78,30,77,93,20.0,72.6,62.5
71,114,93,16,24,153,33.33,28.4,56.0
82,128,124,18,21,134,20.0,23.8,54.0
123,147,77,22,53,141,20.0,60.2,76.5
122,147,91,29,57,156,20.0,60.8,87.5
178,155,90,21,24,88,20.0,65.2,85.5
76,123,56,32,39,147,29.0,16.4,51.5
112,115,116,34,62,102,20.0,39.8,60.5
170,72,94,20,50,134,20.0,60.0,24.0
163,53,95,29,22,155,20.0,76.2,39.5
91,99,100,30,70,78,20.0,38.4,61.5
101,110,61,25,25,60,23.33,33.4,51.0
149,95,73,21,33,149,20.0,70.6,40.5
85,96,125,19,75,153,20.0,34.0,61.0
140,75,75,5,27,172,20.0,69.0,41.5
138,96,95,26,33,149,20.0,63.2,34.0
168,75,53,31,75,174,20.0,54.2,36.5
82,159,57,30,57,158,28.67,31.8,88.5
178,150,67,14,58,116,20.0,62.2,81.0
149,93,64,21,32,143,20.0,53.6,33.5
164,158,57,19,55,170,20.0,64.6,71.0
99,157,122,14,60,160,20.0,43.6,88.5
123,147,98,28,78,168,20.0,38.2,82.5
92,102,61,25,25,129,40.0,24.8,65.0
134,111,101,34,50,83,20.0,60.6,42.5
174,80,79,9,55,83,20.0,55.6,44.0
151,124,43,19,25,177,20.0,74.4,70.0
161,100,101,29,21,138,20.0,56.4,60.0
110,94,83,9,25,85,20.0,47.0,51.0
156,69,51,19,20,149,31.0,52.4,23.5
70,149,116,15,22,92,20.0,30.0,82.5
69,54,62,14,63,61,60.33,19.6,20.0
143,114,102,9,28,76,20.0,52.2,56.0
83,87,74,34,50,108,32.67,47.2,55.5
167,99,117,25,75,134,20.0,52.8,45.5
158,84,40,12,41,119,23.0,58.2,35.0
160,63,99,34,54,144,20.0,53.0,34.5
137,75,101,8,44,168,20.0,63.8,39.5
99,121,78,12,33,91,28.67,52.6,50.5
156,72,102,19,52,84,20.0,47.4,35.0
178,115,117,25,59,163,20.0,62.2,60.5
129,55,106,11,70,131,22.33,55.6,26.5
170,78,72,24,49,162,20.0,81.0,29.0
116,146,66,27,52,127,20.0,40.4,62.0
133,146,77,17,50,106,20.0,50.2,81.0
111,105,54,33,27,64,34.0,32.4,48.5
104,51,66,23,70,95,39.33,51.6,20.5
86,118,59,15,29,163,27.33,24.4,51.0
82,96,129,18,62,71,20.0,24.8,62.0
141,138,136,19,59,119,20.0,52.4,65.0
159,117,44,28,56,131,20.0,64.6,70.5
90,58,90,33,33,99,38.67,42.0,24.0
82,50,85,9,40,149,50.67,20.8,31.0
146,106,40,26,74,174,20.0,57.4,58.0
106,122,92,13,29,111,20.0,29.4,65.0
84,139,114,10,21,66,20.0,44.6,55.5
150,66,82,31,63,110,20.0,64.0,23.0
176,137,72,21,48,122,20.0,76.4,78.5
87,134,88,11,36,143,20.0,35.8,71.0
177,135,131,33,59,108,20.0,55.8,64.5
153,136,90,31,75,142,20.0,58.2,81.0
89,65,79,23,37,60,45.33,38.6,31.5
173,115,131,21,69,153,20.0,72.2,45.5
60,57,68,27,58,62,57.33,18.0,31.5
169,83,136,27,74,151,20.0,58.6,54.5
67,114,96,27,22,147,24.67,32.8,66.0
170,150,106,23,52,151,20.0,60.0,61.0
94,145,127,18,51,179,20.0,32.6,72.5
127,86,93,25,33,154,23.0,52.8,34.0
133,56,72,27,40,78,38.0,66.2,31.0
95,78,99,22,21,60,33.33,27.0,43.0
70,155,41,7,42,178,32.33,32.0,66.5
96,87,133,13,53,112,20.0,25.4,47.5
145,157,63,21,29,89,20.0,65.0,79.5
173,130,53,13,59,125,20.0,78.2,56.0
132,71,43,30,77,88,40.0,38.8,42.5
96,124,109,22,40,101,20.0,31.4,52.0
93,66,76,29,57,135,40.67,43.2,38.0
86,106,70,10,46,99,23.67,30.4,50.0
112,120,49,17,36,85,29.33,30.8,72.0
113,156,104,23,72,95,20.0,55.2,91.0
80,60,79,15,55,172,43.0,24.0,20.0
113,147,94,19,43,177,20.0,53.2,58.5
95,69,122,7,71,166,30.67,52.0,45.5
168,156,137,13,45,125,20.0,60.2,70.0
76,50,128,33,62,163,34.33,39.4,20.0
94,52,83,23,49,161,34.67,33.6,29.0
160,93,98,31,68,120,20.0,58.0,55.5
114,96,51,34,35,147,41.0,37.6,53.0
140,136,119,10,27,84,20.0,65.0,64.0
74,108,65,13,64,85,41.67,23.6,54.0
130,66,62,30,40,145,30.0,50.0,32.0
176,56,48,23,67,131,33.67,81.4,35.0
152,131,134,34,71,98,20.0,62.8,76.5
165,152,56,18,50,83,20.0,62.0,88.0
104,147,42,9,62,99,23.33,32.6,72.5
179,53,132,26,44,72,20.0,56.6,26.5
168,91,105,27,54,101,20.0,81.2,56.5
178,62,52,22,51,155,20.0,82.2,22.0
105,78,101,21,48,121,26.33,51.0,39.0
115,157,49,34,44,162,22.0,35.0,63.5
153,98,42,17,33,179,29.33,49.2,51.0
121,86,64,20,20,112,32.67,47.4,36.0
74,98,127,8,31,118,20.0,42.6,38.0
102,119,78,28,65,147,20.33,54.8,56.5
157,74,110,24,23,118,20.0,66.8,50.0
122,103,113,15,53,116,20.0,49.8,61.5
62,55,44,9,73,106,72.33,17.8,20.0
79,110,74,22,37,121,38.33,39.6,42.0
91,148,52,28,66,148,21.0,24.4,72.0
160,147,50,13,75,126,20.0,51.0,82.5
157,125,81,13,34,99,20.0,57.8,73.5
157,137,118,10,27,64,20.0,72.8,70.5
129,86,99,20,32,87,20.0,48.6,44.0
173,89,84,34,48,174,20.0,77.2,36.5
157,89,130,17,64,92,20.0,70.8,47.5
139,89,131,5,78,118,20.0,48.6,41.5
166,94,128,25,61,159,20.0,78.4,38.0
64,156,84,30,76,174,20.0,19.6,73.0
112,79,78,22,55,61,33.33,41.8,52.5
71,88,105,17,65,86,38.0,21.4,45.0
163,144,137,32,43,168,20.0,65.2,62.0
142,79,110,14,60,155,20.0,68.8,51.5
138,143,76,33,41,127,20.0,43.2,73.5
127,140,103,21,31,81,20.0,44.8,76.0
124,71,129,28,78,141,20.0,47.6,34.5
88,125,75,31,54,111,25.0,26.2,75.5
70,82,45,19,34,91,62.33,23.0,51.0
146,75,137,18,53,88,20.0,59.4,24.5
72,154,78,19,74,88,20.0,32.8,63.0
106,127,123,26,30,86,20.0,43.4,77.5
167,105,131,33,40,106,20.0,55.8,63.5
143,55,58,29,24,62,24.67,67.2,39.5
97,64,73,33,54,123,48.0,47.8,40.0
71,67,54,16,35,86,53.0,40.4,31.5
148,66,132,25,27,138,20.0,61.2,37.0
130,52,132,16,72,83,20.0,56.0,24.0
74,74,133,18,26,76,27.33,33.6,25.0
68,87,87,29,79,122,30.33,35.2,35.5
70,113,116,21,27,80,27.33,42.0,58.5
169,144,77,15,64,148,20.0,79.6,62.0
100,57,50,26,70,147,49.0,41.0,24.5
105,81,118,20,73,145,27.67,27.0,34.5
99,81,136,6,52,92,20.0,36.6,54.5
92,126,65,26,58,125,20.67,27.8,73.0
105,64,137,14,74,103,24.0,34.0,27.0
120,116,45,13,25,132,22.33,41.0,60.0
135,57,111,22,47,121,28.0,68.0,27.5
66,124,123,20,23,65,20.0,19.4,74.0
165,63,114,22,73,71,20.0,63.0,40.5
104,68,94,18,55,104,28.33,54.6,41.0
112,104,71,23,63,141,20.0,46.8,55.0
81,86,135,28,60,118,20.0,44.4,37.0
174,84,100,33,73,122,20.0,54.6,33.0
135,98,133,25,50,117,20.0,43.0,37.0
151,157,59,32,43,109,20.0,63.4,71.5
95,147,139,6,34,93,20.0,28.0,64.5
101,107,51,7,64,77,30.67,45.4,52.5
156,148,65,12,55,171,20.0,58.4,72.0
137,51,76,9,57,168,30.0,68.8,31.5
119,63,128,24,21,162,20.0,48.6,42.5
148,77,105,7,56,64,20.0,51.2,34.5
115,85,84,27,66,90,25.33,40.0,29.5
177,63,119,14,48,69,20.0,84.8,24.5
60,54,59,12,62,135,52.33,33.0,33.0
143,77,76,19,56,135,20.0,58.2,39.5
179,93,95,32,66,138,20.0,67.6,57.5
120,69,117,6,28,96,27.0,58.0,47.5
60,84,109,9,72,118,29.67,10.0,43.0
110,127,51,14,39,112,31.0,52.0,74.5
102,147,128,22,48,116,20.0,48.8,72.5
102,99,62,16,57,143,34.33,44.8,49.5
109,155,47,22,40,60,20.0,56.6,67.5
64,135,86,6,20,114,25.0,19.6,81.5
173,131,56,30,27,106,20.0,70.2,61.5
150,121,128,18,23,92,20.0,63.0,60.5
73,102,87,9,60,149,23.67,31.2,41.0
122,122,72,13,44,107,20.0,41.8,66.0
136,80,114,8,53,161,20.0,42.4,30.0
78,119,137,22,32,164,20.0,28.2,54.5
60,137,93,11,44,144,27.33,10.0,64.5
130,64,60,23,79,152,25.33,53.0,33.0
94,93,129,15,54,131,20.0,35.6,40.5
125,95,48,7,40,85,27.67,50.0,33.5
129,77,132,30,44,71,20.0,37.6,38.5
96,128,83,8,34,102,22.67,45.4,54.0
105,157,82,17,40,82,20.0,49.0,78.5
106,64,64,8,30,110,46.0,30.4,37.0
72,135,58,6,33,127,36.67,33.8,71.5
169,76,68,19,47,94,20.0,67.6,32.0
95,79,57,6,68,136,36.0,48.0,48.5
153,124,46,16,29,98,20.0,52.2,70.0
172,91,100,14,75,95,20.0,56.8,51.5
66,103,40,16,75,104,49.33,25.4,62.5
72,71,60,26,47,68,50.33,27.8,29.5
147,91,111,28,35,108,20.0,46.8,47.5
